Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Spalte1,Spalte2,Spalte3
# PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33, X, Y, GroundHeight,Capture Time,0.00,Interval, X, Y,Hor. Distance,Distance Sum,hor. Speed,vert Speed,relative altitude
HNM_0133_0678747609_510ECM_N0090001HELI00515_0000LUJ01,77.450786926759,18.4372393162046,-2568.93,-1.34335255891784,-0.24855232799223,58.9947121028763,0.515112334809359,0.856936577572258,-0.0178601384651914,-0.857111698619973,0.514888436144011,-0.0157934927726537,-0.0043380428808522,0.0234435565544045,0.999715750121025,805.577885486891,-1056.40229278085,-2569.78,45187.239,0.87,0,805.58,-1056.40,0.00,0.00,,,0.85
HNM_0133_0678747610_403ECM_N0090001HELI00542_0000LUJ01,77.4507870765701,18.4372438788961,-2568.21,4.71673198065829,0.93328004609514,59.1124232941201,0.513287086458044,0.855957518000812,0.0622341887815839,-0.858062389934841,0.510467258657226,0.0561436801277343,0.0162880893514757,-0.0822186427573789,0.996481205506864,805.586288298695,-1056.1318399699,-2569.78,45188.10889,1.74,0.87,805.59,-1056.13,0.27,0.27,0.31,0.82,1.56
HNM_0133_0678747611_301ECM_N0090001HELI00569_0000LUJ01,77.4507868166789,18.4372467899683,-2567.28,9.84248533563889,-1.60290477529052,59.1739163655519,0.512233332960736,0.843637211984504,0.160913850115359,-0.858390681505795,0.508997629000658,0.0639284879824715,-0.0279723168141683,-0.170873251934646,0.984895873311147,805.571660408662,-1055.95928821186,-2569.78,45188.98244,2.61,0.87,805.57,-1055.96,0.17,0.44,0.20,1.07,2.50
HNM_0133_0678747612_195ECM_N0090001HELI00596_0000LUJ01,77.450784913262,18.4372447467189,-2566.35,5.23314874330088,0.430161615167837,58.8933087697583,0.516618763401862,0.852991683826869,0.0742309950312777,-0.856182625526126,0.513893590372678,0.0535227944063836,0.0075076659702607,-0.091206168081334,0.995803730589316,805.464636741215,-1056.08040966951,-2569.78,45189.85234,3.48,0.87,805.46,-1056.08,0.16,0.61,0.19,1.06,3.43
HNM_0133_0678747613_092ECM_N0090001HELI00623_0000LUJ01,77.4507832024039,18.4372417137031,-2565.46,4.27084926552067,0.733570900959598,59.2420627811735,0.511370219818368,0.857436933945069,0.0574665345204777,-0.859265142202745,0.509172689738397,0.0490569813570287,0.0128028777316348,-0.0744652692968063,0.997141419253229,805.368445701239,-1056.26019836508,-2569.78,45190.72583,4.35,0.87,805.37,-1056.26,0.20,0.81,0.23,1.02,4.31
HNM_0133_0678747613_986ECM_N0090001HELI00650_0000LUJ01,77.4507817496685,18.4372381531193,-2564.54,3.33001707182993,1.63140397734565,59.0648275372055,0.513859528311087,0.857151322151487,0.035213578316685,-0.857401814430926,0.511781438367082,0.0542391736061349,0.0284695236079375,-0.0580635021065629,0.997906867372231,805.286771928632,-1056.47125734882,-2569.78,45191.59576,5.22,0.87,805.29,-1056.47,0.23,1.04,0.26,1.06,5.24
HNM_0133_0678747614_884ECM_N0090001HELI00677_0000LUJ01,77.4507806592723,18.4372346075887,-2563.63,1.86898587891213,2.34550419121053,59.2180185092825,0.511343952473012,0.859346931229143,0.0070861877149719,-0.858401117766944,0.510353748960336,0.0518321515913871,0.0409253379428895,-0.0325868487151584,0.998630669469487,805.22547320349,-1056.68142244172,-2569.78,45192.46931,6.10,0.87,805.23,-1056.68,0.22,1.25,0.25,1.04,6.15
HNM_0133_0678747615_782ECM_N0090001HELI00704_0000LUJ01,77.4507808637674,18.4372322075176,-2562.76,1.79596525679395,2.04536316238071,59.6761094814335,0.504565915765386,0.863325828641273,0.0090415844129577,-0.862635153313279,0.503674047103114,0.0466159473028915,0.035690739919668,-0.0313204066964212,0.998871965373119,805.236983653754,-1056.82368501589,-2569.78,45193.34336,6.97,0.87,805.24,-1056.82,0.14,1.40,0.16,1.00,7.02
HNM_0133_0678747616_678ECM_N0090001HELI00731_0000LUJ01,77.4507819772372,18.4372307942242,-2561.86,1.46937381862972,1.52754270648322,59.7617449761043,0.503417924838076,0.863998912220051,0.0087334205380233,-0.863631733495999,0.502840734238061,0.0359364006214188,0.0266574914502605,-0.025633487345587,0.99931591725344,805.29960308989,-1056.90745259363,-2569.76,45194.21538,7.84,0.87,805.30,-1056.91,0.10,1.50,0.12,1.02,7.89
