Name,Lat.,Long.,Diam. (km)
Abbe,57.3S,175.2E,66
Abbot,5.6N,54.8E,10
Abel,34.5S,87.3E,122
Abenezra,21.0S,11.9E,42
Abetti,19.9N,27.7E,65
Abul Wáfa,1.0N,116.6E,55
Abulfeda,13.8S,13.9E,65
Acosta,5.6S,60.1E,13
Adams,31.9S,68.2E,66
Agatharchides,19.8S,30.9W,48
Agrippa,4.1N,10.5E,44
Airy,18.1S,5.7E,36
Aitken,16.8S,173.4E,135
Akis,20.0N,31.8W,2
Alan,10.9S,6.1W,2
Al-Bakri,14.3N,20.2E,12
Albategnius,11.7S,4.3E,114
Al-Biruni,17.9N,92.5E,77
Alden,23.6S,110.8E,104
Alder,48.6S,177.4W,77
Aldrin,1.4N,22.1E,3
Alekhin,68.2S,131.3W,70
Alexander,40.3N,13.5E,81
Alfraganus,5.4S,19.0E,20
Alhazen,15.9N,71.8E,32
Aliacensis,30.6S,5.2E,79
Al-Khwarizmi,7.1N,106.4E,65
Almanon,16.8S,15.2E,49
Al-Marrakushi,10.4S,55.8E,8
Aloha,29.8N,53.9W,3
Alpetragius,16.0S,4.5W,39
Alphonsus,13.7S,3.2W,108
Alter,18.7N,107.5W,64
Ameghino,3.3N,57.0E,9
Amici,9.9S,172.1W,54
Ammonius,8.5S,0.8W,8
Amontons,5.3S,46.8E,2
Amundsen,84.3S,85.6E,101
Anaxagoras,73.4N,10.1W,50
Anaximander,66.9N,51.3W,67
Anaximenes,72.5N,44.5W,80
Andel,10.4S,12.4E,35
Anders,41.3S,142.9W,40
Anderson,15.8N,171.1E,109
Andersson,49.7S,95.3W,13
Andronov,22.7S,146.1E,16
Ango,20.5N,32.3W,1
Angström,29.9N,41.6W,9
Ann,25.1N,0.1W,3
Annegrit,29.4N,25.6W,1
Ansgarius,12.7S,79.7E,94
Antoniadi,69.7S,172.0W,143
Anuchin,49.0S,101.3E,57
Anville,1.9N,49.5E,10
Apianus,26.9S,7.9E,63
Apollo,36.1S,151.8W,537
Apollonius,4.5N,61.1E,53
Appleton,37.2N,158.3E,63
Arago,6.2N,21.4E,26
Aratus,23.6N,4.5E,10
Archimedes,29.7N,4.0W,82
Archytas,58.7N,5.0E,31
Argelander,16.5S,5.8E,34
Ariadaeus,4.6N,17.3E,11
Aristarchus,23.7N,47.4W,40
Aristillus,33.9N,1.2E,55
Aristoteles,50.2N,17.4E,87
Armínski,16.4S,154.2E,26
Armstrong,1.4N,25.0E,4
Arnold,66.8N,35.9E,94
Arrhenius,55.6S,91.3W,40
Artamonov,25.5N,103.5E,60
Artem'ev,10.8N,144.4W,67
Artemis,25.0N,25.4W,2
Artsimovich,27.6N,36.6W,8
Aryabhata,6.2N,35.1E,22
Arzachel,18.2S,1.9W,96
Asada,7.3N,49.9E,12
Asclepi,55.1S,25.4E,42
Ashbrook,81.4S,112.5W,156
Aston,32.9N,87.7W,43
Atlas,46.7N,44.4E,87
Atwood,5.8S,57.7E,29
