Name,Latitude,Longitude,Approximate Diameter/Width (km)
Mare Imbrium,32.8N,15.6W,1146
Mare Serenitatis,28.0N,17.5E,707
Mare Tranquillitatis,8.5N,31.4E,873
Mare Crisium,17.0N,59.1E,555
Mare Fecunditatis,7.8S,51.3E,909
Mare Nectaris,15.2S,35.5E,333
Mare Vaporum,13.3N,3.6E,245
Mare Frigoris,56.0N,1.4E,1596
Mare Humorum,24.4S,38.6W,425
Mare Nubium,21.3S,16.6W,715
Mare Cognitum,10.0S,23.1W,376
Mare Insularum,7.5N,30.9W,513
Oceanus Procellarum,18.4N,57.4W,2568
Sinus Iridum,44.1N,31.5W,249
Sinus Medii,1.6N,1.0E,335
Sinus Aestuum,10.9N,8.8E,316
Sinus Asperitatis,3.8S,27.5E,206
Sinus Roris,54.0N,56.6W,202
Lacus Somniorum,37.0N,29.2E,384
Lacus Mortis,45.0N,27.0E,151
Lacus Spei,43.0N,65.0E,77
Lacus Felicitatis,25.0N,5.0E,109
Lacus Temporis,46.8N,58.4E,183
Lacus Autumni,41.0S,83.9E,183
Lacus Veris,16.5S,86.1E,396
Palus Putredinis,27.4N,0.4E,161
Palus Epidemiarum,32.0S,28.0W,286
Montes Apenninus,19.9N,3.9W,600
Montes Caucasus,38.4N,10.0E,445
Montes Alpes,48.5N,2.9E,281
Montes Carpatus,14.5N,25.1W,361
Montes Harbinger,29.0N,41.0W,100
Montes Jura,47.1N,35.0W,422
Montes Recti,48.0N,20.0W,90
Montes Riphaeus,7.5S,28.1W,300
Montes Rook,20.6S,82.5W,791
Montes Cordillera,17.5S,86.1W,940
Rima Ariadaeus,6.4N,14.0E,247
Rima Hyginus,7.8N,6.3E,220
Rima Sirsalis,12.5S,61.0W,425
Vallis Alpes,48.5N,3.2E,166
Vallis Schröteri,26.2N,50.0W,160
Vallis Rheita,42.1S,51.5E,445
Rupes Recta,22.1S,7.8W,110
Rupes Altai,24.3S,22.6E,480
,,,
Shackleton Connecting Ridge,-89.0,-44.0,35
de Gerlache Rim 1,-88.0,-88.0,18
de Gerlache Rim 2,-87.8,-74.0,16
de Gerlache–Kocher Massif,-87.5,-95.0,28
Peak Near Shackleton,-88.6,124.0,5
Leibnitz Beta Plateau,-86.7,30.0,75
Malapert Massif,-85.9,-0.5,45
Malapert Ridge,-86.1,4.0,30
Nobile Rim 1,-85.4,47.0,20
Nobile Rim 2,-85.0,59.0,18
Amundsen Rim,-84.7,77.0,35
Haworth Rim,-87.3,-5.0,18
Cabeus Rim,-85.2,-34.0,22
Shoemaker Rim,-88.0,45.0,15
Faustini Rim,-87.3,78.0,18
Scott Ridge,-82.5,52.0,45
