Mission,Latitude,Longitude
Luna 2,29.10N,0.00E
Ranger 4,15.50S,229.30E
Surveyor 1,2.47S,43.34W
Luna 9,7.08N,64.37W
Surveyor 3,3.01S,23.42W
Luna 13,18.87N,62.05W
Surveyor 5,1.41N,23.18E
Surveyor 6,0.49N,1.40W
Surveyor 7,40.98S,11.44W
Luna 16,0.68S,56.30E
Apollo 11,0.67N,23.47E
Luna 17 (Lunokhod 1),38.28N,35.00W
Apollo 12,3.01S,23.42W
Luna 20,3.54N,56.55E
Apollo 14,3.65S,17.47W
Luna 21 (Lunokhod 2),25.85N,30.45E
Apollo 15,26.13N,3.63E
Luna 23,12.70N,62.20E
Apollo 16,8.97S,15.50E
Luna 24,12.71N,62.21E
Apollo 17,20.19N,30.77E
Hiten,34.30S,55.60E
SMART-1,34.26S,46.19W
Chang'e 3,44.12N,19.51W
Chang'e 4,45.46S,177.59E
Beresheet,32.60N,19.30E
Chandrayaan-2 Vikram,70.90S,22.80E
Chang'e 5,43.06N,51.92W
Hakuto-R Mission 1,47.61N,11.52W
Luna 25,57.00S,61.00E
Chandrayaan-3 Vikram,69.37S,32.35E
SLIM,13.31S,25.24E
Odysseus (IM-1),80.13S,1.44E
Chang'e 6,41.64S,206.01E
Blue Ghost Mission 1,18.56N,61.81E
Athena (IM-2),84.60S,31.00E
Resilience (Hakuto-R Mission 2),60.00N,0.00E
