

*******************************************************************************
Ephemeris / WWW_USER Fri Jan 17 23:55:28 2025 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2024-Oct-16 00:00:00.0000 UT      
Stop  time      : A.D. 2035-Oct-17 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {West-longitude positive}
Target radii    : 3396.19, 3396.19, 3376.2 km     {Equator_a, b, pole_c}       
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 6378.137, 0.0              {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.250117.p250415                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2025-JAN-17. PREDICTS-> 2025-APR-14
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , ObsSub-LON, ObsSub-LAT,  SunSub-LON, SunSub-LAT,
************************************************************************
$$SOE
 2024-Oct-16 00:00, ,m,  78.474421,  11.910795,  115.559511,  -5.981513,
 2024-Oct-17 00:00, ,m,  68.942354,  12.069928,  105.988588,  -5.761924,
 2024-Oct-18 00:00, ,m,  59.414382,  12.226024,   96.418876,  -5.542310,
 2024-Oct-19 00:00, ,m,  49.890614,  12.379050,   86.850355,  -5.322686,
 2024-Oct-20 00:00, ,m,  40.371166,  12.528973,   77.283008,  -5.103070,
 2024-Oct-21 00:00, ,m,  30.856165,  12.675756,   67.716815,  -4.883477,
 2024-Oct-22 00:00, ,m,  21.345743,  12.819359,   58.151757,  -4.663923,
 2024-Oct-23 00:00, ,m,  11.840037,  12.959743,   48.587815,  -4.444422,
 2024-Oct-24 00:00, ,m,   2.339187,  13.096867,   39.024968,  -4.224992,
 2024-Oct-25 00:00, , , 352.843336,  13.230691,   29.463196,  -4.005645,
 2024-Oct-26 00:00, , , 343.352631,  13.361175,   19.902480,  -3.786398,
 2024-Oct-27 00:00, , , 333.867218,  13.488278,   10.342800,  -3.567266,
 2024-Oct-28 00:00, , , 324.387247,  13.611963,    0.784134,  -3.348262,
 2024-Oct-29 00:00, , , 314.912869,  13.732190,  351.226463,  -3.129401,
 2024-Oct-30 00:00, , , 305.444238,  13.848922,  341.669767,  -2.910697,
 2024-Oct-31 00:00, , , 295.981506,  13.962121,  332.114025,  -2.692164,
 2024-Nov-01 00:00, , , 286.524831,  14.071751,  322.559215,  -2.473816,
 2024-Nov-02 00:00, , , 277.074368,  14.177778,  313.005318,  -2.255666,
 2024-Nov-03 00:00, , , 267.630275,  14.280167,  303.452313,  -2.037728,
 2024-Nov-04 00:00, , , 258.192711,  14.378885,  293.900180,  -1.820015,
 2024-Nov-05 00:00, , , 248.761832,  14.473900,  284.348897,  -1.602541,
